0.23	0.96
0.84	0.57
0.43	0.08
0.27	0.12
0.06	0.64
0.08	0.46
0.41	0.76
0.8	0.02
0.9	0.36
0.11	0.03
0.87	0.85
0.14	0.02
0.27	0.92
0.13	0.36
0.83	0.28
0.7	0.57
0.87	0.46
0.92	0.61
0.2	0.77
0.41	0.2
0.58	0.38
0.63	0.37
0.23	0.72
0.13	0.31
0.83	0.83
0.08	0.72
0.1	0.79
0.75	0.32
0.91	0.77
0.77	0.42
0.94	0.57
0.03	0.51
0.06	0.38
0.28	0.86
0.04	0.03
0.17	0.13
0.37	0.13
0.22	0.23
0.62	0.82
0.6	0.23
0.78	0.73
0.46	0.86
0.95	0.91
0.53	0.04
0.49	0.3
0.91	0.68
0.42	0.17
0.84	0.97
0.75	0.47
0.66	0.42
0.55	0.84
0.16	0.72
0.78	0.37
0.54	0.39
0.28	0.88
0.77	0.92
0.15	0.3
0.13	0.78
0.33	0.88
0.69	0.95
0.8	0.04
0.12	1
0.57	0.71
1	0.61
0.06	0.57
0.04	0.62
0.74	0.76
0.48	0.15
0.22	0.87
0.06	0.78
0.17	0.9
0.5	0.16
0.9	0.46
0.61	0.24
0.58	0.65
0.08	0.02
0.64	0.42
0.64	0.48
0.27	0.76
0.78	0.41
0.67	0.59
0.32	0.69
0.79	0.92
0.14	0.6
0.5	0.86
0.86	0.1
0.4	0.42
0.57	0.41
0.55	0.78
0.52	0.32
0.59	0.57
0.21	0.86
0.54	0.36
0.54	0.42
0.7	0.14
0.87	0.73
0.09	0.5
0.48	0.88
0.59	0.19
0.69	0.29
0.23	0.08
0.69	0.27
0.84	0.45
0.36	0.05
0.64	0.1
0.53	0.03
0.92	0.41
0.88	0.73
0.47	0.97
0.09	0.88
0.7	0.35
0.05	0.23
0.91	0.47
0.48	0.27
0.31	0.44
0.98	0.35
0.37	0.62
0.44	0.38
0.45	0.09
0.86	0.08
0.02	0.02
0.5	0.63
0.61	0.3
0.95	0.83
0.3	0.05
0.05	0.52
0.69	0.41
0.16	0.67
0.44	0.25
0.64	0.63
0.29	0.78
0.67	0.83
0.99	0.36
0.17	0.19
0.78	0.45
0.28	0.77
0.88	0.61
0.64	0.63
0.84	0.93
0.58	0.63
0.38	0.04
0.04	0.44
0.66	0.39
0.5	0.63
0.07	0.35
0.54	0.97
0.83	0.5
0.3	0.33
0.76	0.03
0.96	0.09
0.93	0.7
0.64	0.34
0.98	0.07
0.4	0.52
0.83	0.94
0.72	0.37
0.16	0.22
0.76	0.5
0.51	0.39
0.8	0.21
0.52	0.72
0.44	0.28
0.8	0.99
0.61	0.36
0.11	0.97
0.71	0.23
0.39	0.39
0.68	0.94
0.94	0.41
0.04	0.53
0.28	0.91
0.28	0.03
0.7	0.94
0.09	0.95
0.21	0.55
0.39	0.02
0.22	0.14
0.13	0.67
0.85	0.81
0.03	0.57
0.11	0.23
0.14	0.67
0.09	0.19
0.53	0.85
0.88	0.04
0.29	0.83
0.72	0.72
0.42	0.94
0.29	0.94
0.93	0.35
0.41	0.32
0.28	0.03
0.88	0.73
0.61	0.98
0.48	0.63
0.14	0.92
0.64	0.72
0.03	0.24
0.51	0.26
0.59	0.64
0.51	0.95
0.93	0.64
0.15	0.46
0.24	0.71
0.72	0.19
0.03	0.46
0.33	0.05
0.73	1
0.35	0.46
0.2	0.97
0.83	0.8
0.76	0.84
0.44	0.28
0.83	0.4
0.68	0.24
0.72	0.6
0.44	0.92
0.58	0.28
0.57	0.3
0.66	0.99
0.71	0.7
0.95	0.37
0.42	0.69
0.14	0.35
0.03	0.73
0.73	0.28
0.88	0.69
0.68	0.26
0.11	0.48
0.58	0.57
0.7	0.54
0.5	0.75
0.44	0.95
0.31	0.65
0.98	0.4
0.14	1
0.53	0.88
0.77	0.73
0.49	0.49
0.11	0.72
0.22	0.83
1	0.47
0.58	0.17
1	0.65
0.58	0.85
0.84	0.62
0.27	0.42
0.1	0.47
0.54	0.23
0.35	0.69
0.53	0.3
0.76	1
0.08	0.86
0.66	0.48
0.91	0.26
0.8	0.71
0.3	0.21
0.88	0.81
0.06	0.23
0.36	0.14
0.22	0.68
0.26	0.95
0.12	0.66
0.53	0.93
0.5	0.69
0.66	0.68
0.3	0.83
0.19	0.59
1	0.92
0.71	0.19
0.58	0.39
0.04	0.39
0.05	0.44
0.22	0.69
0.37	0.62
0.25	0.5
0.41	0.12
0.43	0.84
0.83	0.29
0.51	0.17
0.35	0.52
0.44	0.28
0.35	0.24
0.18	0.71
0.98	0.15
0.37	0.82
0.41	0.56
0.32	0.24
0.77	0.56
0.57	0.92
0.75	0.83
0.97	0.04
0.15	0.06
0.06	0.37
0.5	0.31
0.43	0.57
0.05	0.32
0.62	0.82
0.38	0.44
0.05	0.19
0.27	0.39
0.28	0.89
0.96	0.56
0.55	0.64
0.24	0.46
0.87	0.44
0.44	0.41
0.38	0.55
0.36	0.6
0.44	0.51
0.6	0.63
0.45	0.11
0.24	0.65
0.48	0.69
0.55	0.1
0.31	0.32
0.93	0.08
0.15	0.96
0.77	0.83
0.92	0.38
0.79	0.91
0.65	0.5
0.48	0.21
0.62	0.94
0.37	0.48
0.71	0.55
0.88	0.14
0.41	0.35
0.56	0.14
0.12	0.06
0.89	0.55
0.48	0.84
0.85	0.1
0.31	0.12
0.93	0.64
0.63	0.76
0.49	0.24
0.86	0.24
0.05	0.32
0.14	0.99
0.7	0.31
0.62	0.36
0.54	0.99
0.95	0.34
0.78	0.32
0.55	0.72
0.79	0.1
0.8	0.52
0.77	0.57
0.81	0.73
0.27	0.22
0.59	0.41
0.69	0.57
0.72	0.2
0.33	0.88
0.42	0.95
0.23	0.23
0.22	0.62
0.15	0.07
0.48	0.98
0.62	0.1
0.93	0.35
0.74	0.02
0.18	0.74
0.75	0.46
0.56	0.97
0.68	0.95
0.84	0.3
0.24	0.79
0.57	0.9
0.13	1
0.85	0.57
0.31	0.91
0.88	0.81
0.22	0.68
0.6	0.94
0.8	0.81
0.29	0.69
1	0.55
0.7	1
0.03	0.51
0.64	0.25
0.35	1
0.42	0.31
0.62	0.96
0.29	0.45
0.31	0.89
0.68	0.11
0.43	0.04
0.06	0.64
0.62	0.88
0.36	0.3
0.56	0.64
0.12	0.8
0.18	0.91
0.02	0.67
0.64	0.32
0.77	0.02
0.92	0.64
0.74	0.39
0.51	0.86
0.87	0.9
0.15	0.72
0.48	0.76
0.99	0.54
0.54	0.12
